"season","month_label","valence","energy"
NULL,NULL,0.47205516659311736,0.6055601775071376
"summer","Aug",0.4617095421369925,0.624240921193557
"winter","Dec",0.47047548839825964,0.6197533230754281
"winter","Jan",0.504612850567801,0.5557584591218505
"summer","Jul",0.4745653249349144,0.622987369415517
"summer","Jun",0.47212266499999855,0.6213601862735272
"winter","Feb",0.4594233489308083,0.6220295246981348
"autumn","Nov",0.46011447687766566,0.6105979804952387
"spring","Apr",0.4537221946455913,0.6185717946275633
"autumn","Oct",0.4595196590506132,0.6150636354994184
"spring","Mar",0.4588776916348378,0.6174590705834236
"spring","Mai",0.46540656478531106,0.622535794227337
"autumn","Sep",0.460143958598533,0.6155013564981519
"summer",NULL,0.4695993399519787,0.6228207902977915
"autumn",NULL,0.45992469648441003,0.6137908719139212
"spring",NULL,0.4593865012722099,0.6195292193681253
"winter",NULL,0.4900689155227697,0.5794927329628734
